ticker,ev_ebit,roic,ev_ebit_rank,roic_rank,magic_formula
AZEV4,1.13,2.596,4,1,5
BRKM3,2.25,0.534,11,3,14
G2DI33,0.86,0.363,1,13,14
BRKM5,2.25,0.534,12,4,16
FHER3,2.58,0.724,15,2,17
BRAP3,1.89,0.365,9,11,20
SYNE3,1.21,0.352,5,15,20
BRAP4,1.89,0.365,10,12,22
ETER3,2.49,0.446,14,9,23
UNIP3,3.28,0.504,23,5,28
USIM3,1.41,0.3,6,22,28
UNIP6,3.28,0.504,24,6,30
USIM5,1.41,0.3,7,23,30
ENAT3,1.77,0.291,8,25,33
GOAU3,0.92,0.282,2,31,33
CMIN3,2.97,0.355,21,14,35
GOAU4,0.92,0.282,3,32,35
TASA3,3.51,0.489,30,7,37
VALE3,3.44,0.423,28,10,38
TASA4,3.51,0.489,31,8,39
GGBR3,2.66,0.287,16,27,43
GGBR4,2.66,0.287,17,28,45
CSNA3,2.44,0.278,13,33,46
MRFG3,2.9,0.283,20,30,50
LEVE3,4.38,0.29,35,26,61
PETR3,3.35,0.232,25,39,64
DEXP3,4.39,0.283,36,29,65
PETR4,3.35,0.232,26,40,66
ALLD3,2.7,0.21,18,49,67
WIZS3,3.35,0.231,27,41,68
CRPG5,5.25,0.31,56,17,73
CURY3,5.24,0.301,55,21,76
BSEV3,5.46,0.309,61,18,79
JALL3,5.04,0.239,47,37,84
FESA4,5.29,0.267,57,34,91
CGRA4,4.06,0.182,33,59,92
PLPL3,4.39,0.189,37,55,92
JBSS3,4.57,0.182,39,60,99
RANI3,4.92,0.179,41,65,106
PTBL3,6.63,0.246,74,35,109
SLCE3,6.48,0.233,71,38,109
TAEE11,6.32,0.224,65,44,109
CMIG3,5.19,0.181,50,61,111
TAEE3,6.32,0.224,66,45,111
ALUP11,4.3,0.151,34,78,112
CMIG4,5.19,0.181,51,62,113
TAEE4,6.32,0.224,67,46,113
JHSF3,4.96,0.169,45,69,114
KEPL3,7.46,0.292,90,24,114
LAVV3,3.45,0.128,29,92,121
PARD3,7.17,0.23,81,42,123
MLAS3,5.06,0.154,48,76,124
MOAR3,8.7,0.311,110,16,126
EUCA4,3.11,0.122,22,106,128
RAPT4,4.8,0.135,40,88,128
AURA33,5.18,0.137,49,87,136
TRPL4,5.85,0.165,64,73,137
LVTC3,7.06,0.179,80,64,144
PSSA3,3.7,0.115,32,113,145
SUZB3,7.47,0.19,91,54,145
DXCO3,6.98,0.169,78,68,146
ENBR3,5.63,0.138,62,86,148
PDTC3,7.85,0.197,98,50,148
POSI3,5.84,0.143,63,85,148
SAPR11,4.94,0.122,42,107,149
SAPR3,4.94,0.122,43,108,151
CPLE11,5.23,0.123,52,100,152
SAPR4,4.94,0.122,44,109,153
CPLE3,5.23,0.123,53,101,154
BEEF3,6.5,0.144,72,83,155
CGAS5,10.67,0.301,135,20,155
CPLE6,5.23,0.123,54,102,156
ITSA3,7.59,0.166,93,70,163
SMLS3,9.93,0.245,127,36,163
ITSA4,7.59,0.166,94,71,165
ROMI3,6.72,0.131,76,91,167
ODPV3,12.68,0.305,151,19,170
VULC3,8.62,0.175,105,66,171
EVEN3,2.9,0.077,19,154,173
CARD3,7.71,0.149,95,81,176
ENGI11,7.18,0.126,84,93,177
ESPA3,7.36,0.132,87,90,177
CPFE3,7.82,0.144,96,84,180
MYPK3,5.01,0.096,46,134,180
ASAI3,10.4,0.217,133,48,181
SOJA3,10.14,0.195,130,52,182
PRIO3,10.14,0.186,129,57,186
LPSB3,11.08,0.195,139,51,190
CSED3,6.72,0.11,75,119,194
TECN3,5.32,0.093,58,136,194
CRFB3,9.21,0.151,117,79,196
DIRR3,6.44,0.105,70,126,196
LJQQ3,10.29,0.173,131,67,198
SGPS3,5.33,0.086,59,141,200
CAMB3,8.96,0.134,114,89,203
ABEV3,12.38,0.187,148,56,204
EGIE3,10.3,0.165,132,72,204
TGMA3,8.66,0.126,108,96,204
CXSE3,11.75,0.179,142,63,205
CTSA3,7.18,0.105,82,124,206
NEOE3,6.84,0.101,77,129,206
BLAU3,9.77,0.148,125,82,207
CTSA4,7.18,0.105,83,125,208
COCE5,7.44,0.105,89,123,212
KLBN11,8.89,0.123,111,103,214
CIEL3,5.44,0.076,60,156,216
KLBN3,8.89,0.123,112,104,216
KLBN4,8.89,0.123,113,105,218
CLSC4,6.56,0.082,73,146,219
EQTL3,9.19,0.121,116,110,226
CSMG3,7.27,0.085,85,142,227
PCAR3,4.42,0.043,38,189,227
ECOR3,8.44,0.104,104,127,231
TUPY3,7.83,0.092,97,137,234
CYRE3,8.15,0.093,100,135,235
OFSA3,11.18,0.126,140,95,235
VITT3,14.05,0.16,161,74,235
CSAN3,9.08,0.106,115,121,236
QUAL3,9.65,0.112,122,115,237
VVEO3,9.62,0.112,121,117,238
OMGE3,8.67,0.1,109,130,239
ELET3,6.42,0.064,68,173,241
ELET6,6.42,0.064,69,174,243
TFCO4,23.22,0.227,201,43,244
ARZZ3,21.47,0.192,194,53,247
CAML3,8.65,0.084,107,143,250
TRIS3,7.49,0.074,92,160,252
FRAS3,13.22,0.125,156,97,253
FLRY3,10.93,0.109,136,120,256
LOGN3,14.65,0.126,163,94,257
SEER3,9.25,0.09,118,139,257
TIMS3,9.68,0.097,124,133,257
B3SA3,13.83,0.123,160,99,259
WEGE3,32.84,0.221,215,47,262
MOVI3,7.89,0.072,99,165,264
JSLG3,10.08,0.09,128,138,266
SMTO3,13.11,0.117,154,112,266
LOGG3,9.52,0.082,120,147,267
PGMN3,12.65,0.111,150,118,268
RADL3,29.47,0.184,210,58,268
LCAM3,11.0,0.098,137,132,269
PFRM3,7.33,0.049,86,183,269
VIVA3,21.68,0.154,197,77,274
SIMH3,8.17,0.063,101,175,276
GMAT3,13.78,0.106,158,122,280
HYPE3,14.99,0.113,167,114,281
ALPA4,26.63,0.159,207,75,282
MRVE3,9.26,0.073,119,163,282
RENT3,16.61,0.118,172,111,283
GFSA3,7.42,0.037,88,198,286
TTEN3,13.11,0.1,155,131,286
STBP3,16.15,0.112,171,116,287
INTB3,29.25,0.15,209,80,289
HBOR3,8.64,0.045,106,186,292
MILS3,12.35,0.083,147,145,292
MDNE3,8.24,0.04,103,191,294
MELK3,8.2,0.039,102,192,294
SBSP3,11.04,0.076,138,158,296
RRRP3,13.79,0.084,159,144,303
CESP6,7.01,0.01,79,227,306
BRFS3,11.96,0.072,144,164,308
FIQE3,12.89,0.077,153,155,308
PORT3,12.7,0.076,152,157,309
EZTC3,11.83,0.065,143,171,314
VIVT3,14.1,0.078,162,153,315
GGPS3,19.88,0.103,190,128,318
CCRO3,13.61,0.073,157,162,319
ENEV3,16.11,0.081,170,149,319
SHUL4,41.42,0.125,223,98,321
BMOB3,12.01,0.05,145,182,327
VBBR3,14.89,0.074,166,161,327
RAIZ4,17.68,0.081,177,151,328
POWE3,10.6,0.038,134,197,331
VLID3,12.58,0.049,149,184,333
LIGT3,9.92,0.028,126,212,338
RECV3,22.81,0.087,199,140,339
GRND3,19.69,0.08,189,152,341
AGRO3,15.93,0.054,169,181,350
AMBP3,18.51,0.069,183,167,350
AERI3,24.72,0.081,203,148,351
BRBI11,9.67,0.008,123,231,354
PRNR3,11.18,0.028,141,213,354
MATD3,26.14,0.081,205,150,355
UGPA3,17.09,0.056,175,180,355
POMO3,14.82,0.039,164,193,357
VAMO3,19.35,0.066,188,170,358
POMO4,14.82,0.039,165,194,359
MTRE3,12.21,0.026,146,215,361
YDUQ3,18.61,0.057,185,178,363
KRSA3,17.78,0.045,178,187,365
TESA3,17.39,0.039,176,195,371
CBAV3,23.96,0.064,202,172,374
NGRD3,15.51,0.03,168,207,375
RDOR3,33.46,0.074,217,159,376
LAME3,16.86,0.029,173,209,382
DESK3,19.05,0.038,187,196,383
PNVL3,25.14,0.056,204,179,383
LAME4,16.86,0.029,174,210,384
MULT3,27.77,0.06,208,177,385
LAND3,33.58,0.069,218,168,386
BRML3,18.54,0.032,184,204,388
LREN3,30.46,0.061,212,176,388
TOTS3,38.64,0.067,221,169,390
IGTA3,18.83,0.032,186,205,391
PETZ3,50.35,0.072,229,166,395
EMAE4,17.94,0.022,180,217,397
ANIM3,23.02,0.036,200,199,399
LUPA3,22.74,0.034,198,201,399
MDIA3,20.25,0.031,193,206,399
AALR3,31.37,0.044,213,188,401
GUAR3,17.88,0.019,179,222,401
RAIL3,30.18,0.042,211,190,401
BRIT3,21.47,0.028,195,211,406
EMBR3,18.38,0.018,182,224,406
SBFG3,26.53,0.036,206,200,406
HBRE3,18.24,0.011,181,226,407
ALSO3,21.5,0.027,196,214,410
IGTI11,20.14,0.022,191,219,410
ORVR3,43.03,0.048,225,185,410
IGTI3,20.14,0.022,192,220,412
ONCO3,31.71,0.024,214,216,430
ARML3,50.87,0.032,230,203,433
SEQL3,44.28,0.03,226,208,434
HAPV3,162.42,0.033,237,202,439
BRPR3,33.14,0.016,216,225,441
APER3,48.1,0.02,228,221,449
OPCT3,41.06,0.01,222,228,450
GNDI3,109.34,0.022,235,218,453
MOSI3,36.94,0.003,219,235,454
SQIA3,60.3,0.019,231,223,454
NTCO3,38.06,0.002,220,238,458
AMER3,45.04,0.007,227,232,459
TPIS3,42.84,0.003,224,236,460
SOMA3,63.17,0.01,232,229,461
HBSA3,79.98,0.007,233,233,466
AZUL4,554.72,0.008,238,230,468
DASA3,92.97,0.003,234,234,468
COGN3,140.89,0.002,236,237,473
